Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1664310769.55229
Cabo Verde,CPV,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.3
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,30
Cabo Verde,CPV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.821
Cabo Verde,CPV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2554.30074315258
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,11242275198.9783
Cambodia,KHM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.2
Cambodia,KHM,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.26
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,20.294
Cambodia,KHM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,660.406992166474
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,26143818509.6421
Cameroon,CMR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.9
Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.3
Cameroon,CMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.559
Cameroon,CMR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1059.83963564738
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1613542812589.39
Canada,CAN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.2
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.3
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.937
Canada,CAN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,38427.3680313043
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,4156935677.4271
Cayman Islands,CYM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.2
Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,66
Cayman Islands,CYM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Cayman Islands,CYM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2140503193.16261
Central African Republic,CAF,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.5
Central African Republic,CAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,2
Central African Republic,CAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.904
Central African Republic,CAF,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,411.633361061773
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,10657705536.4978
Chad,TCD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.7
Chad,TCD,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.7
Chad,TCD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.985
Chad,TCD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,670.452945475422
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,..
Channel Islands,CHI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3
Channel Islands,CHI,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
Channel Islands,CHI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.054
Channel Islands,CHI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,218537551220.071
Chile,CHL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.7
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,45
Chile,CHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.074
Chile,CHL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,9146.42011283422
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,6087164527421.24
China,CHN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.2
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,34.3
China,CHN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,49.226
China,CHN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3459.18181520509
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,286103648654.545
Colombia,COL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.2
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,36.5
Colombia,COL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.964
Colombia,COL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5024.44650854168
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,907093130.313521
Comoros,COM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.4
Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.1
Comoros,COM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.973
Comoros,COM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1172.44810928087
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,21565720044.4634
"Congo, Dem. Rep.",COD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.2
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.72
"Congo, Dem. Rep.",COD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.013
"Congo, Dem. Rep.",COD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,242.204683095837
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,12007880438.6232
"Congo, Rep.",COG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.1
"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,5
"Congo, Rep.",COG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.256
"Congo, Rep.",COG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,492.151010742314
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,37268614024.3178
Costa Rica,CRI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.3
Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,36.5
Costa Rica,CRI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.736
Costa Rica,CRI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,7299.73255906445
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,24884505034.5564
Cote d'Ivoire,CIV,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.7
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.7
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.33
Cote d'Ivoire,CIV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1090.91015244041
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,59807966533.2848
Croatia,HRV,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.9
Croatia,HRV,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.55
Croatia,HRV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.155
Croatia,HRV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,11183.8798464306
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,64328000000
Cuba,CUB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.5
Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS,15.9
Cuba,CUB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.597
Cuba,CUB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4815.75677566225
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,..
Curacao,CUW,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..
Curacao,CUW,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
Curacao,CUW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.905
Curacao,CUW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,25732432719.0773
Cyprus,CYP,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.1
Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,52.99
Cyprus,CYP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.551
Cyprus,CYP,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,26205.3584018905
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,207477857918.919
Czech Republic,CZE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.4
Czech Republic,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.82
Czech Republic,CZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.255
Czech Republic,CZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,14047.2333155915
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,321995279401.502
Denmark,DNK,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.6
Denmark,DNK,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.72
Denmark,DNK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.795
Denmark,DNK,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,47972.2234671855
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1128611700.3618
Djibouti,DJI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.3
Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.5
Djibouti,DJI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.999
Djibouti,DJI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,493824407.407407
Dominica,DMA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,11.5
Dominica,DMA,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.45
Dominica,DMA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.094
Dominica,DMA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6024.60441741704
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,53860187452.8829
Dominican Republic,DOM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,11.2
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,31.4
Dominican Republic,DOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.753
Dominican Republic,DOM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5124.04886063016
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,69555367000
Ecuador,ECU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.9
Ecuador,ECU,Individuals using the Internet (% of population),IT.NET.USER.ZS,29.03
Ecuador,ECU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.69
Ecuador,ECU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3667.0114722024
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,218888324504.753
"Egypt, Arab Rep.",EGY,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,11.4
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.6
"Egypt, Arab Rep.",EGY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.019
"Egypt, Arab Rep.",EGY,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2258.17365343153
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,18448000000
El Salvador,SLV,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9
El Salvador,SLV,Individuals using the Internet (% of population),IT.NET.USER.ZS,15.9
El Salvador,SLV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.452
El Salvador,SLV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2684.76731340986
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,16298542027.9965
Equatorial Guinea,GNQ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.8
Equatorial Guinea,GNQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,6
Equatorial Guinea,GNQ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.94
Equatorial Guinea,GNQ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2673.79031452025
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,2117039512.19512
Eritrea,ERI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2.5
